	id1	id10	id100	id102	id106	id109	id11	id114	id115	id117	id118	id12	id123	id125	id13	id130	id131	id132	id133	id134	id135	id136	id137	id138	id14	id141	id144	id146	id147	id148	id149	id157	id16	id160	id161	id164	id166	id171	id174	id176	id178	id182	id183	id185	id187	id188	id189	id19	id196	id198	id199	id2	id20	id201	id202	id203	id204	id205	id207	id208	id209	id21	id210	id211	id216	id218	id220	id224	id226	id227	id231	id232	id237	id239	id240	id248	id249	id25	id250	id251	id253	id254	id258	id259	id26	id260	id262	id264	id265	id269	id27	id272	id276	id277	id278	id279	id282	id283	id284	id285	id286	id287	id289	id29	id290	id291	id293	id294	id295	id296	id299	id304	id306	id307	id308	id309	id31	id322	id323	id328	id330	id331	id333	id335	id341	id348	id351	id354	id355	id359	id360	id37	id38	id381	id387	id389	id394	id395	id396	id397	id398	id399	id401	id406	id407	id43	id45	id46	id48	id50	id51	id52	id53	id6	id60	id61	id66	id67	id68	id70	id71	id72	id73	id75	id78	id79	id84	id86	id9	id97
id1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.749	0	0	0	0	0	0	-0.8051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.7653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.7502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.816	0	0	0	0	0	0	0	0	0	0	0	0
id10	0	0	0	0	0	-0.8095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8602	0	0	0	0	0	0	0	0	0	0.7897	0	0	0.8143	0	0	0	0	0	0	0	0	0	0	0	0	0	0.856	0	0	-0.8832	0.8492	0.8748	0.8404	0	0	0	0	0	0	0	0	0	0	0	0.8396	0	0	0	0	0	-0.8822	0	-0.8143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.8048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8557	0	0	0	0	0	0	0	0	0	-0.837	-0.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8231	0	0	0	0	0	0	0	0	0	0.8815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8385	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.7573	0	0	0	0	0	0
id102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.784
id106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7733	0	0	0	0	-0.7534	0	0	0	0	-0.8064	0	0	0	0	0	-0.7942	0	0	-0.7784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7817	0	0	0	0	0	0	0	0	0	0.7996	0	0
id109	0	-0.8095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.7945	0	0	0	0	0.7553	0	0	0	0	0	0	0	0.8265	-0.8574	0	0.7426	0	0	0.8654	0.7869	0	-0.8886	0	-0.822	-0.8009	0	-0.854	-0.716	0	0	0	0.8998	-0.7996	0.8128	0	0	-0.8193	0	0	0	-0.8988	0.856	0	0	-0.8477	-0.8392	-0.8585	-0.8252	0	-0.789	-0.8851	0	0	-0.786	0	-0.8815	0.7991	0.8009	-0.7503	-0.7495	0	0	-0.7582	0	0.8312	0	0	-0.7762	0	0	0	0	0	0	-0.75	-0.8295	0	0	0	0	0.7265	0	0	0	0	0	0	0	0	-0.8371	0	-0.8109	0.8215	0	0	-0.7723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7521	0	-0.7222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8407	0	0	0.894	0.8305	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.7009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8423	0	0	0	0	0	0.8733	0	0	0	0	0.8794	0.8749	0	0	0	0	0	0	0	-0.7711	0	0	0	0	0	0	0	0	0	0	0	-0.818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.7948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9222	0	0.9245	0	0	0	0	0	0	0	-0.7526	0	0	0.9408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.792	0	0	0	0	0	0	0.7202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9353	0	0	0	0	0	-0.7786	0	0	0	0	0	0	0	0	0	0	-0.8817	0	0	0	0	0	0
